BookingID,BookingID_Date,vehicle_no,Origin_Location,Destination_Location,Org_lat_lon,Org_lat,Org_lon,Des_lat_lon,Des_lat,Des_lat,Planned_ETA,actual_eta,SLA,SLA_binary,Curr_lat,Curr_lon,OriginLocation_Code,DestinationLocation_Code,trip_start_date,trip_end_date,TRANSPORTATION_DISTANCE_IN_KM,customerID,customerNameCode,supplierID,supplierNameCode,Material Shipped
AEIBK2027469,26-08-2020,MH14GD9464,"Shive, Pune, Maharashtra","Pondur, Kanchipuram, Tamil Nadu","18.750621,73.87719",18.750621,73.87719,"12.930429,79.931163",12.93042900,79.93116300,30-08-2020 16:03,28-08-2020 12:48,Fulfill,1,12.8371275,79.95186556,PUNTATTVSHUA1,CHEORADMRCCB1,26-08-2020 16:16,28-08-2020 12:15,1290,DMREXCHEUX,Daimler india commercial vehicles pvt lt,67876,OMS LOGISTICS PVT LTD,REGULATOR - 12V
VCV00014153/082021,27-08-2020,TN30BC9320,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","12.8390,79.9540",12.839,79.954,"12.8390,79.9540",12.83900000,79.95400000,31-08-2020 19:21,28-08-2020 12:13,Fulfill,1,12.7680905,80.02665983,CHEORADMRCCB1,CHEMATDMROPA7,27-08-2020 15:21,27-08-2020 15:21,29,DMREXCHEUX,Daimler india commercial vehicles pvt lt,VJLEXSHE09,VJ LOGISTICS,VALVE SPRING
VCV00014063/082021,27-08-2020,TN30BB1036,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","12.8390,79.9540",12.839,79.954,"12.8390,79.9540",12.83900000,79.95400000,31-08-2020 18:22,28-08-2020 11:33,Fulfill,1,12.83526222,79.95253333,CHEORADMRCCB1,CHEMATDMROPA7,27-08-2020 14:21,27-08-2020 14:22,21,DMREXCHEUX,Daimler india commercial vehicles pvt lt,VJLEXSHE09,VJ LOGISTICS,VALVE SPRING
VCV00014741/082021,28-08-2020,TN88D4134,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","12.8390,79.9540",12.839,79.954,"12.8390,79.9540",12.83900000,79.95400000,01-09-2020 04:32,28-08-2020 11:31,Fulfill,1,12.83917167,79.951355,CHEORADMRCCB1,CHEMTADMROPA1,28-08-2020 00:31,28-08-2020 00:32,20,DMREXCHEUX,Daimler india commercial vehicles pvt lt,NSAEXNAMDZ,NAMAKKAL SRI ANJINAYA TRANSPORT,LU HOOD LOCK / RH
AEIBK2027446,26-08-2020,GJ01DZ8943,"Khorajnanoda, Ahmedabad, Gujarat","Singaperumalkoil, Kanchipuram, Tamil Nadu","22.961777,72.094219",22.961777,72.094219,"12.786517,79.975221",12.78651700,79.97522100,30-08-2020 13:55,29-08-2020 07:09,Fulfill,1,18.9964,75.7402,HALSANVLECCB5,CHEMMNFILCCA1,26-08-2020 15:35,28-08-2020 11:21,1900,FILEXCHE19,Ford india private limited,68005,Sterling Translogistics Private Limited,LU LATCH / PIN
AEIBK2027346,25-08-2020,TN24R6979,"Naickenpalayam, Coimbatore, Tamil Nadu","Mookandapalli, Krishnagiri, Tamil Nadu","11.154594,76.922532",11.154594,76.922532,"12.746894,77.806168",12.74689400,77.80616800,29-08-2020 19:45,28-08-2020 11:45,Fulfill,1,12.76435389,77.79047722,COIPERTVSHUA3,HOSHOSALLCCA2,26-08-2020 11:58,28-08-2020 11:25,400,ALLEXCHE45,Ashok leyland limited,67789,GAYATHRI TRANSPORT,PLANETARY AXLE
VCV00014935/082021,28-08-2020,HR55AA5092,"HEROMOTOCORP LTD,ALWAR,RAJASTHAN","HEROMOTOCORP LTD,ALWAR,RAJASTHAN","28.2070,76.8560",28.207,76.856,"28.2070,76.8560",28.20700000,76.85600000,01-09-2020 15:14,28-08-2020 12:00,Fulfill,1,28.06327556,76.54456,GURRIIHHMCCA1,GURRIIHHMCCA1,28-08-2020 07:58,28-08-2020 11:14,242,HHMEXGURO6,Hero motocorp ltd,VIREXGURN1,VIRS TEMPO SERVICE,SPRING SHACKLE BOLT
VCV00014113/082021,27-08-2020,TN28AQ0975,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","12.8390,79.9540",12.839,79.954,"12.8390,79.9540",12.83900000,79.95400000,31-08-2020 19:05,28-08-2020 11:04,Fulfill,1,12.83768167,79.9508955,CHEORADMRCCB1,CHEMATDMROPA7,27-08-2020 15:04,27-08-2020 15:05,21,DMREXCHEUX,Daimler india commercial vehicles pvt lt,ARVEXNAM09,ARVINTH TRANSPORT,SPRING SHACKLE / PIN
VCV00013971/082021,27-08-2020,TN887661,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","12.8390,79.9540",12.839,79.954,"12.8390,79.9540",12.83900000,79.95400000,31-08-2020 16:57,28-08-2020 10:48,Fulfill,1,12.83513017,79.95268183,CHEORADMRCCB1,CHEMATDMROPA7,27-08-2020 12:56,27-08-2020 12:58,3,DMREXCHEUX,Daimler india commercial vehicles pvt lt,ESWEXNAM02,ESWAR TRANSPORT,CONNECTING PIN / SWIVELLING LEVER
AEIBK2027316,25-08-2020,TN88C8141,"Jagadambigainagar, Tiruvallur, Tamil Nadu","Shive, Pune, Maharashtra","13.087428,80.184717",13.087428,80.184717,"18.750621,73.87719",18.75062100,73.87719000,29-08-2020 17:39,28-08-2020 11:05,Fulfill,1,18.69755111,73.83897333,CHEPADLUTCCA1,PUNTATTVSHUA1,27-08-2020 17:21,28-08-2020 10:42,1199,LUTGCCHE06,Lucas tvs ltd,67730,Arvinth Transport,MOUNTING BRACKET / ROUND BAR
AEIBK2027297,25-08-2020,MH12LT3088,"Shive, Pune, Maharashtra","Pondur, Kanchipuram, Tamil Nadu","18.750621,73.87719",18.750621,73.87719,"12.930429,79.931163",12.93042900,79.93116300,29-08-2020 16:03,28-08-2020 10:45,Fulfill,1,12.836794,79.950705,PUNTATTVSHUA1,CHEORADMRCCB1,26-08-2020 07:27,28-08-2020 10:25,1290,DMREXCHEUX,Daimler india commercial vehicles pvt lt,67889,Pratiksha Freight Carriers,CENTERING BOLT
MVCV0001571/082021,26-08-2020,TN21R2077,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","13.2150,80.3200",13.215,80.32,"12.7660,77.7860",12.76600000,77.78600000,30-08-2020 15:17,28-08-2020 10:35,Fulfill,1,12.71482,77.87076,CHEENNALLCCA1,HOSHOSALLCCA3,26-08-2020 11:17,26-08-2020 11:18,310,ALLEXCHE45,Ashok leyland limited,AVTEXMADNJ,ANNAI VELANKANNI TRANSPORT,STEUERGERAET MOTORMANAGEMENT / MDT BS6
VCV00013034/082021,26-08-2020,TN23AZ8289,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","13.2150,80.3200",13.215,80.32,"12.7660,77.7860",12.76600000,77.78600000,30-08-2020 15:35,28-08-2020 10:20,Fulfill,1,12.716235,77.875626,CHEENNALLCCA1,HOSHOSALLCCA3,26-08-2020 11:33,26-08-2020 11:35,310,ALLEXCHE45,Ashok leyland limited,VRLEXENN11,VINAYAKA ROADLINES,LU HIGH-PRESSURE TRANSFER PUMP FOR COMMO
MVCV0001604/082021,26-08-2020,TN41AH2583,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","13.2150,80.3200",13.215,80.32,"12.7660,77.7860",12.76600000,77.78600000,30-08-2020 21:04,28-08-2020 12:17,Fulfill,1,12.776642,78.70905,CHEENNALLCCA1,HOSHOSALLCCA3,26-08-2020 17:04,26-08-2020 17:06,310,ALLEXCHE45,Ashok leyland limited,VRLEXENN11,VINAYAKA ROADLINES,RECTANGULAR RING
VCV00013841/082021,27-08-2020,TN12C9762,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","12.8390,79.9540",12.839,79.954,"12.8390,79.9540",12.83900000,79.95400000,31-08-2020 14:09,28-08-2020 10:13,Fulfill,1,12.86839267,79.92878333,CHEORADMRCCB1,CHEMATDMROPA7,27-08-2020 10:08,27-08-2020 10:09,15,DMREXCHEUX,Daimler india commercial vehicles pvt lt,SUSEXMADL5,SUSEE TRANSPORTER,LU END-OUTLINE MARKER LAMP / LED
VCV00014096/082021,27-08-2020,TN73AC6411,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","12.8390,79.9540",12.839,79.954,"12.8390,79.9540",12.83900000,79.95400000,31-08-2020 18:52,28-08-2020 09:46,Fulfill,1,12.83611033,79.95518017,CHEORADMRCCB1,CHEMATDMROPA7,27-08-2020 14:50,27-08-2020 14:52,69,DMREXCHEUX,Daimler india commercial vehicles pvt lt,ARCEXSHO13,ARCHANA TRANSPORT,7MM HOLE-PLATE
VCV00013818/082021,27-08-2020,TN18s3838,"TRACTORS & FARM EQUIPMENT LIMITED,KANCHIPURAM,TAMIL NADU","TRACTORS & FARMS EQUIPMENTS LIMITED,KANCHIPURAM,TAMIL NADU","12.7770,80.0250",12.777,80.025,"12.7780,80.0250",12.77800000,80.02500000,31-08-2020 13:26,28-08-2020 09:53,Fulfill,1,12.78323417,80.01438,CHEMMNTFECCC3,CHEMMATFEOPA1,27-08-2020 09:26,27-08-2020 09:27,20,TFEEXCHETB,Tractors & farm equipment limited,AMAEXSUN42,AMAL TRANSPORT & TRAVELS,SPL WASHER ( C1110 )
VCV00013819/082021,27-08-2020,TN18m5881,"TRACTORS & FARM EQUIPMENT LIMITED,KANCHIPURAM,TAMIL NADU","TRACTORS & FARMS EQUIPMENTS LIMITED,KANCHIPURAM,TAMIL NADU","12.7770,80.0250",12.777,80.025,"12.7780,80.0250",12.77800000,80.02500000,31-08-2020 13:27,28-08-2020 09:45,Fulfill,1,12.77849333,80.02513778,CHEMMNTFECCC3,CHEMMATFEOPA1,27-08-2020 09:26,27-08-2020 09:27,20,TFEEXCHETB,Tractors & farm equipment limited,AMAEXSUN42,AMAL TRANSPORT & TRAVELS,RUBBER BUFFER
